,2018
,Total
Estados Unidos Mexicanos,   49 610
Aguascalientes,   59 346
Baja California,   59 178
Baja California Sur,   68 778
Campeche,   47 700
Coahuila de Zaragoza,   55 925
Colima,   52 766
Chiapas,   26 510
Chihuahua,   54 030
Ciudad de México,   79 085
Durango,   43 648
Guanajuato,   46 142
Guerrero,   29 334
Hidalgo,   38 783
Jalisco,   60 541
México,   48 013
Michoacán de Ocampo,   42 653
Morelos,   42 973
Nayarit,   48 148
Nuevo León,   68 959
Oaxaca,   31 592
Puebla,   38 975
Querétaro,   61 339
Quintana Roo,   56 711
San Luis Potosí,   46 497
Sinaloa,   55 474
Sonora,   59 883
Tabasco,   39 450
Tamaulipas,   49 150
Tlaxcala,   40 301
Veracruz de Ignacio de la Llave,   32 445
Yucatán,   49 879
Zacatecas,   37 957