,Total
Estados Unidos Mexicanos,49610
Aguascalientes,59346
Baja California,59178
Baja California Sur,68778
Campeche,47700
Coahuila de Zaragoza,55925
Colima,52766
Chiapas,26510
Chihuahua,54030
Ciudad de Mexico,79085
Durango,43648
Guanajuato,46142
Guerrero,29334
Hidalgo,38783
Jalisco,60541
Mexico,48013
Michoacan de Ocampo,42653
Morelos,42973
Nayarit,48148
Nuevo Leon,68959
Oaxaca,31592
Puebla,38975
Queretaro,61339
Quintana Roo,56711
San Luis Potosi,46497
Sinaloa,55474
Sonora,59883
Tabasco,39450
Tamaulipas,49150
Tlaxcala,40301
Veracruz de Ignacio de la Llave,32445
Yucatan,49879
Zacatecas,37957